claim_id,policy_id,customer_id,claim_date,claim_type,claim_amount,claim_status,days_to_settle,fraud_indicator,adjuster_id
CLM0000046,POL0052224,CUST001129,2024-03-01,Disability,744852.81,Approved,54.0,0,ADJ047
CLM0000047,POL0060139,CUST011428,2025-04-05,Storm,171644.62,Approved,42.0,0,ADJ007
CLM0000048,POL0026317,CUST000713,2023-06-22,Medical,50000.0,Denied,54.0,1,ADJ030
CLM0000049,POL0074478,CUST011302,2025-06-05,Fire,12859.42,Under Investigation,,0,ADJ040
CLM0000050,POL0062016,CUST004839,2022-11-16,Property,4320.51,Approved,30.0,0,ADJ050
CLM0000051,POL0061265,CUST005740,2024-06-15,Disability,563559.5,Approved,77.0,0,ADJ020
CLM0000052,POL0003898,CUST008832,2021-11-29,Liability,4161.69,Pending,,0,ADJ007
CLM0000053,POL0060232,CUST004286,2022-03-27,Disability,399937.54,Under Investigation,,1,ADJ042
CLM0000054,POL0026287,CUST009240,2024-10-26,Workers Comp,20164.63,Approved,39.0,0,ADJ008
CLM0000055,POL0024565,CUST010356,2023-03-21,Fire,38584.6,Approved,38.0,0,ADJ044
CLM0000056,POL0047603,CUST002808,2023-10-25,Liability,12491.05,Approved,10.0,0,ADJ004
CLM0000057,POL0049418,CUST009028,2023-12-09,Vandalism,45085.65,Approved,4.0,0,ADJ037
CLM0000058,POL0030625,CUST003609,2024-05-26,Cyber,23089.02,Under Investigation,,0,ADJ023
CLM0000060,POL0037470,CUST014988,2023-01-06,Medical,6459.17,Denied,93.0,0,ADJ029
CLM0000061,POL0027301,CUST011491,2021-04-01,Collision,2066.42,Approved,4.0,0,ADJ010
CLM0000062,POL0020125,CUST000291,2024-09-08,Dental,50000.0,Approved,31.0,0,ADJ026
CLM0000063,POL0052152,CUST014860,2024-12-30,Trip Cancellation,7772.56,Denied,20.0,1,ADJ039
CLM0000064,POL0029883,CUST014175,2024-10-03,Comprehensive,7447.21,Approved,20.0,0,ADJ022
CLM0000065,POL0052873,CUST013693,2022-11-08,Disability,213470.9,Approved,3.0,0,ADJ041
CLM0000066,POL0038026,CUST010145,2022-07-24,Liability,15586.2,Approved,3.0,0,ADJ017
CLM0000067,POL0069112,CUST007403,2025-02-15,Theft,14047.41,Approved,54.0,0,ADJ001
CLM0000068,POL0015024,CUST007046,2021-12-08,Vandalism,32430.0,Approved,80.0,0,ADJ049
CLM0000069,POL0010930,CUST011041,2024-10-13,Critical Illness,380738.95,Approved,37.0,0,ADJ026
CLM0000071,POL0054729,CUST005234,2025-02-20,Collision,3848.0,Approved,9.0,0,ADJ027
CLM0000072,POL0055035,CUST003823,2022-07-04,Collision,11830.19,Approved,42.0,0,ADJ048
CLM0000073,POL0019208,CUST007582,2023-01-28,Liability,8479.68,Under Investigation,,0,ADJ025
CLM0000074,POL0029617,CUST008748,2022-08-25,Liability,26655.44,Approved,14.0,0,ADJ018
CLM0000075,POL0037756,CUST007171,2021-05-04,Fire,7194.08,Denied,24.0,0,ADJ024
CLM0000076,POL0049023,CUST005713,2024-10-18,Theft,17779.35,Approved,20.0,0,ADJ007
CLM0000077,POL0047497,CUST002775,2022-10-08,Theft,2014.8,Approved,4.0,0,ADJ028
CLM0000079,POL0059780,CUST007596,2025-05-06,Liability,17659.29,Pending,,0,ADJ020
CLM0000081,POL0054734,CUST002736,2023-12-15,Collision,49857.94,Approved,15.0,0,ADJ043
CLM0000082,POL0068775,CUST010081,2022-06-24,Critical Illness,504019.78,Under Investigation,,0,ADJ047
CLM0000084,POL0067561,CUST008445,2024-04-18,Vandalism,13531.16,Approved,0.0,0,ADJ011
CLM0000085,POL0028239,CUST012330,2021-01-27,Fire,73943.41,Approved,56.0,0,ADJ034
CLM0000086,POL0031872,CUST001004,2024-04-24,Liability,107956.2,Denied,24.0,1,ADJ007
CLM0000087,POL0038363,CUST013341,2025-06-29,Dental,31603.09,Approved,78.0,0,ADJ018
CLM0000089,POL0004401,CUST014904,2024-04-06,Theft,26487.55,Denied,0.0,0,ADJ006
CLM0000090,POL0052294,CUST014478,2023-11-29,Liability,139992.53,Approved,132.0,0,ADJ049
CLM0000091,POL0035764,CUST002960,2020-10-27,Collision,24286.84,Denied,71.0,0,ADJ013
CLM0000092,POL0054504,CUST002323,2021-03-19,Death,388346.59,Under Investigation,,1,ADJ029
CLM0000093,POL0017833,CUST014383,2025-05-16,Vision,25435.26,Approved,3.0,0,ADJ016
CLM0000094,POL0053773,CUST003061,2024-03-04,Comprehensive,8540.66,Approved,17.0,0,ADJ026
CLM0000095,POL0049453,CUST008161,2025-07-01,Critical Illness,383330.3,Approved,114.0,1,ADJ033
CLM0000097,POL0007709,CUST004527,2025-05-16,Vandalism,16657.15,Approved,140.0,0,ADJ044
CLM0000098,POL0003786,CUST003321,2022-12-12,Dental,25416.06,Denied,18.0,0,ADJ032
CLM0000099,POL0043131,CUST012640,2023-06-20,Dental,50000.0,Approved,4.0,0,ADJ050
CLM0000100,POL0029013,CUST013782,2021-04-28,Critical Illness,457891.1,Approved,16.0,1,ADJ033
CLM0000101,POL0053655,CUST007439,2022-04-26,Liability,2400.36,Approved,19.0,0,ADJ003
CLM0000102,POL0021088,CUST004457,2024-08-23,Cyber,7794.09,Approved,24.0,0,ADJ029
CLM0000103,POL0026564,CUST010379,2025-02-19,Disability,258082.6,Approved,144.0,0,ADJ002
CLM0000104,POL0017458,CUST001109,2025-03-15,Water Damage,82955.21,Approved,4.0,0,ADJ004
CLM0000105,POL0069812,CUST010842,2023-07-10,Death,437355.36,Approved,176.0,0,ADJ026
CLM0000106,POL0005756,CUST003679,2022-01-14,Death,674333.07,Under Investigation,,0,ADJ029
CLM0000107,POL0061879,CUST004128,2025-04-18,Lost Luggage,10000.0,Approved,12.0,0,ADJ027
CLM0000108,POL0003613,CUST008320,2025-04-30,Death,132922.49,Under Investigation,,0,ADJ041
CLM0000109,POL0039004,CUST010719,2020-05-22,Theft,26051.85,Approved,8.0,0,ADJ025
CLM0000111,POL0021793,CUST009494,2024-11-21,Workers Comp,54573.75,Approved,82.0,0,ADJ021
CLM0000112,POL0039554,CUST008395,2022-12-14,Theft,123641.74,Approved,132.0,0,ADJ010
CLM0000113,POL0071511,CUST008855,2023-09-26,Comprehensive,7900.15,Approved,17.0,0,ADJ042
CLM0000114,POL0064310,CUST005141,2023-02-05,Storm,28852.36,Approved,16.0,0,ADJ048
CLM0000115,POL0021740,CUST013040,2021-08-05,Disability,344825.16,Approved,9.0,0,ADJ047
CLM0000116,POL0000921,CUST000737,2024-04-19,Critical Illness,1857847.65,Under Investigation,,0,ADJ045
CLM0000117,POL0026149,CUST008224,2025-05-20,Disability,831927.04,Approved,16.0,0,ADJ013
CLM0000118,POL0064515,CUST009354,2021-10-03,Medical,50000.0,Approved,51.0,0,ADJ029
CLM0000119,POL0013746,CUST009905,2023-04-02,Death,535171.0,Approved,56.0,0,ADJ025
CLM0000120,POL0002186,CUST009682,2025-01-09,Comprehensive,7091.17,Approved,33.0,0,ADJ021
CLM0000123,POL0029392,CUST000274,2025-05-17,Water Damage,190204.0,Denied,66.0,1,ADJ044
CLM0000124,POL0073883,CUST012545,2024-05-25,Comprehensive,26899.84,Approved,129.0,0,ADJ006
CLM0000125,POL0064476,CUST010604,2022-11-22,Disability,443321.35,Approved,344.0,0,ADJ005
CLM0000126,POL0070952,CUST014113,2025-06-25,Death,495167.56,Approved,77.0,0,ADJ035
CLM0000127,POL0029479,CUST002687,2022-02-14,Critical Illness,539220.59,Pending,,0,ADJ035
CLM0000128,POL0040975,CUST006560,2021-04-09,Comprehensive,5412.7,Approved,6.0,0,ADJ007
CLM0000129,POL0042196,CUST005615,2023-10-20,Critical Illness,189551.84,Approved,133.0,0,ADJ017
CLM0000130,POL0017513,CUST009740,2025-03-25,Vision,15679.02,Approved,111.0,0,ADJ039
CLM0000131,POL0031012,CUST008986,2024-03-21,Comprehensive,14907.45,Denied,2.0,0,ADJ045
CLM0000132,POL0070037,CUST013036,2024-10-18,Theft,19804.11,Pending,,1,ADJ013
CLM0000133,POL0024818,CUST000150,2025-01-24,Disability,784265.57,Approved,57.0,0,ADJ003
CLM0000134,POL0057073,CUST004939,2025-03-29,Comprehensive,25582.1,Approved,22.0,0,ADJ024
CLM0000135,POL0037273,CUST006839,2024-12-26,Collision,18436.89,Denied,10.0,0,ADJ024
CLM0000136,POL0061922,CUST010342,2025-02-01,Liability,11245.93,Approved,4.0,0,ADJ031
CLM0000137,POL0052594,CUST011521,2025-01-03,Medical Emergency,8814.61,Pending,,0,ADJ046
CLM0000138,POL0027591,CUST014936,2025-05-14,Comprehensive,7319.07,Approved,1.0,0,ADJ021
CLM0000141,POL0015080,CUST012525,2023-01-12,Workers Comp,21503.36,Pending,,0,ADJ002
CLM0000142,POL0058507,CUST000792,2025-07-02,Disability,172701.66,Denied,50.0,0,ADJ038
CLM0000143,POL0031026,CUST006529,2022-09-09,Water Damage,44349.2,Approved,52.0,0,ADJ034
CLM0000144,POL0001038,CUST004391,2023-03-01,Medical,25515.16,Approved,185.0,0,ADJ015
CLM0000145,POL0013074,CUST012019,2022-02-18,Collision,18997.81,Approved,27.0,0,ADJ045
CLM0000146,POL0033459,CUST003149,2024-11-14,Liability,5480.05,Approved,143.0,0,ADJ026
CLM0000147,POL0013960,CUST002152,2021-08-28,Fire,21644.87,Approved,10.0,0,ADJ038
CLM0000148,POL0064693,CUST014201,2022-02-20,Comprehensive,19277.79,Approved,5.0,0,ADJ035
CLM0000149,POL0067294,CUST000415,2021-08-28,Water Damage,29975.78,Approved,41.0,0,ADJ025
CLM0000151,POL0054203,CUST010778,2025-05-26,Water Damage,39277.73,Under Investigation,,0,ADJ023
CLM0000152,POL0062250,CUST014070,2025-01-22,Comprehensive,2827.44,Pending,,0,ADJ011
CLM0000153,POL0027809,CUST003107,2021-01-18,Cyber,25128.31,Approved,21.0,0,ADJ044
CLM0000154,POL0065735,CUST000311,2022-12-28,Vandalism,42625.39,Approved,25.0,0,ADJ015
CLM0000155,POL0050562,CUST009751,2020-12-30,Water Damage,110462.26,Approved,150.0,0,ADJ046
CLM0000156,POL0018498,CUST011174,2023-02-05,Comprehensive,92722.01,Denied,41.0,0,ADJ039
CLM0000157,POL0008774,CUST000086,2023-04-15,Collision,11987.03,Pending,,0,ADJ044
CLM0000158,POL0022178,CUST000822,2021-09-10,Disability,877670.13,Approved,121.0,0,ADJ026
CLM0000159,POL0017441,CUST013357,2024-10-28,Death,496937.09,Denied,12.0,0,ADJ009
CLM0000160,POL0046307,CUST010838,2021-10-10,Vandalism,17190.54,Approved,125.0,0,ADJ011
CLM0000162,POL0019837,CUST014265,2024-06-15,Comprehensive,4996.68,Approved,30.0,0,ADJ030
CLM0000164,POL0054853,CUST003444,2023-04-02,Storm,9813.53,Approved,29.0,0,ADJ046
CLM0000165,POL0071344,CUST000422,2023-02-23,Theft,14266.01,Approved,50.0,0,ADJ044
CLM0000166,POL0023994,CUST000166,2022-10-22,Liability,24222.42,Approved,1.0,0,ADJ030
CLM0000167,POL0016504,CUST008574,2024-10-06,Medical,50000.0,Approved,30.0,0,ADJ030
CLM0000168,POL0023723,CUST004749,2025-06-03,Death,219404.26,Approved,5.0,0,ADJ032
CLM0000171,POL0031176,CUST004411,2022-01-26,Dental,35229.81,Denied,2.0,0,ADJ021
CLM0000172,POL0039823,CUST005584,2025-06-06,Theft,19937.03,Approved,0.0,0,ADJ016
CLM0000173,POL0022792,CUST008653,2024-06-18,Medical Emergency,6742.49,Approved,35.0,0,ADJ031
CLM0000174,POL0005058,CUST003629,2021-01-30,Comprehensive,8878.74,Approved,7.0,0,ADJ014
CLM0000175,POL0036884,CUST014111,2023-05-15,Death,654903.22,Pending,,1,ADJ041
CLM0000176,POL0039223,CUST000766,2024-06-30,Storm,85117.5,Approved,2.0,0,ADJ011
CLM0000177,POL0023940,CUST010950,2025-02-19,Theft,4305.9,Approved,16.0,0,ADJ011
CLM0000178,POL0033391,CUST000690,2024-05-03,Disability,314912.25,Approved,41.0,0,ADJ016
CLM0000179,POL0040711,CUST004836,2024-05-22,Mental Health,14434.49,Approved,19.0,0,ADJ025
CLM0000180,POL0053127,CUST009203,2022-06-02,Theft,7417.82,Denied,154.0,1,ADJ027
CLM0000182,POL0052998,CUST005834,2025-03-26,Liability,12259.84,Pending,,0,ADJ012
CLM0000183,POL0037661,CUST000714,2023-06-04,Comprehensive,6022.77,Denied,4.0,0,ADJ017
CLM0000184,POL0068706,CUST014819,2020-09-26,Fire,25071.09,Approved,15.0,0,ADJ049
CLM0000186,POL0061798,CUST011045,2024-09-29,Theft,13577.4,Approved,0.0,0,ADJ030
CLM0000187,POL0057484,CUST003059,2022-02-22,Collision,74698.74,Approved,45.0,0,ADJ003
CLM0000188,POL0025374,CUST002038,2022-04-16,Theft,13543.84,Approved,46.0,0,ADJ049
CLM0000189,POL0014994,CUST006269,2020-12-18,Theft,5486.02,Denied,4.0,0,ADJ026
CLM0000190,POL0045867,CUST006301,2025-04-15,Medical,11405.49,Denied,5.0,0,ADJ016
CLM0000191,POL0058192,CUST002523,2024-02-06,Disability,574533.39,Approved,226.0,0,ADJ045
CLM0000192,POL0004440,CUST003367,2024-07-29,Fire,48240.53,Approved,26.0,0,ADJ019
CLM0000193,POL0044830,CUST010104,2025-02-09,Lost Luggage,9752.54,Denied,38.0,0,ADJ036
CLM0000194,POL0049876,CUST014041,2021-12-14,Critical Illness,325967.8,Approved,25.0,0,ADJ039
CLM0000195,POL0027914,CUST009855,2021-06-20,Vandalism,3204.32,Approved,7.0,0,ADJ003
CLM0000196,POL0062935,CUST006530,2021-03-26,Cyber,6872.74,Approved,35.0,0,ADJ013
CLM0000197,POL0019892,CUST002427,2022-12-14,Liability,11248.24,Approved,61.0,0,ADJ048
CLM0000198,POL0063428,CUST000027,2023-06-11,Comprehensive,30569.83,Approved,70.0,0,ADJ025
CLM0000199,POL0061702,CUST009194,2025-01-07,Theft,50785.18,Approved,35.0,0,ADJ043
CLM0000200,POL0025352,CUST004367,2024-02-01,Disability,350148.01,Pending,,0,ADJ034
CLM0000201,POL0011904,CUST012563,2021-09-21,Collision,22601.38,Approved,2.0,0,ADJ009
CLM0000203,POL0040412,CUST007740,2022-05-09,Lost Luggage,10000.0,Pending,,0,ADJ042
CLM0000204,POL0036036,CUST003394,2023-01-13,Liability,2197.62,Denied,130.0,0,ADJ026
CLM0000206,POL0057459,CUST000558,2025-05-14,Theft,30882.65,Approved,133.0,1,ADJ019
CLM0000207,POL0048405,CUST005982,2024-05-05,Theft,19409.05,Approved,15.0,0,ADJ029
CLM0000209,POL0017833,CUST014383,2025-05-18,Vision,50000.0,Approved,10.0,0,ADJ044
CLM0000210,POL0020191,CUST006402,2021-08-14,Mental Health,50000.0,Denied,142.0,0,ADJ018
CLM0000212,POL0027481,CUST013038,2022-12-02,Liability,12184.7,Approved,11.0,0,ADJ038
CLM0000213,POL0024694,CUST004765,2021-12-02,Collision,48364.15,Approved,69.0,0,ADJ045
CLM0000214,POL0032315,CUST006689,2023-05-09,Mental Health,235954.6,Approved,31.0,0,ADJ018
CLM0000215,POL0072044,CUST005291,2022-01-19,Collision,5151.28,Approved,9.0,0,ADJ029
CLM0000217,POL0065628,CUST011295,2025-05-15,Disability,718364.28,Approved,110.0,0,ADJ016
CLM0000218,POL0033040,CUST000582,2025-06-05,Theft,5838.51,Approved,66.0,0,ADJ023
CLM0000220,POL0056037,CUST011354,2023-03-18,Theft,37874.86,Under Investigation,,0,ADJ039
CLM0000221,POL0031333,CUST012958,2021-05-31,Comprehensive,7098.48,Approved,1.0,1,ADJ011
CLM0000222,POL0062250,CUST014070,2024-06-25,Collision,6783.0,Approved,29.0,0,ADJ048
CLM0000223,POL0073032,CUST007883,2020-11-17,Critical Illness,299560.06,Approved,3.0,0,ADJ026
CLM0000225,POL0020374,CUST004825,2020-12-03,Vandalism,25259.51,Approved,42.0,0,ADJ004
CLM0000226,POL0070133,CUST003976,2024-10-16,Theft,7701.17,Approved,9.0,0,ADJ026
CLM0000227,POL0011360,CUST008403,2025-06-23,Mental Health,50000.0,Denied,40.0,0,ADJ029
CLM0000228,POL0046252,CUST011831,2022-08-30,Fire,293221.0,Approved,8.0,1,ADJ046
CLM0000229,POL0060440,CUST014760,2025-01-10,Critical Illness,275252.0,Approved,53.0,0,ADJ016
CLM0000231,POL0057051,CUST002096,2021-12-17,Medical Emergency,1664.35,Approved,7.0,0,ADJ042
CLM0000232,POL0070949,CUST000868,2022-04-21,Critical Illness,504771.23,Approved,69.0,0,ADJ003
CLM0000233,POL0008773,CUST004189,2024-09-18,Vandalism,14215.83,Approved,36.0,0,ADJ028
CLM0000234,POL0050115,CUST003092,2023-03-01,Comprehensive,29466.16,Approved,48.0,0,ADJ022
CLM0000235,POL0002156,CUST005691,2025-05-28,Dental,41686.94,Approved,14.0,0,ADJ024
CLM0000236,POL0014072,CUST005924,2025-06-19,Death,289780.22,Approved,48.0,0,ADJ016
CLM0000237,POL0065748,CUST007843,2023-05-19,Dental,43647.18,Approved,50.0,0,ADJ007
CLM0000238,POL0027920,CUST013789,2025-04-30,Death,1282078.24,Denied,60.0,1,ADJ005
CLM0000239,POL0059972,CUST010403,2022-08-12,Critical Illness,929620.11,Approved,8.0,0,ADJ016
CLM0000240,POL0019402,CUST009046,2021-06-06,Vandalism,5487.69,Denied,33.0,0,ADJ034
CLM0000241,POL0023484,CUST006422,2020-11-04,Water Damage,155662.63,Denied,53.0,0,ADJ015
CLM0000242,POL0071282,CUST005511,2025-06-12,Water Damage,28644.71,Approved,33.0,0,ADJ047
CLM0000243,POL0039205,CUST001168,2023-05-31,Vandalism,7876.56,Approved,40.0,0,ADJ025
CLM0000244,POL0015268,CUST004580,2022-02-17,Theft,7582.35,Approved,5.0,0,ADJ007
CLM0000245,POL0001224,CUST008101,2025-05-08,Storm,28213.92,Approved,26.0,0,ADJ011
CLM0000246,POL0005725,CUST002998,2023-05-26,Mental Health,50000.0,Approved,20.0,0,ADJ028
CLM0000247,POL0012148,CUST013170,2024-02-06,Water Damage,24867.53,Approved,51.0,0,ADJ037
CLM0000248,POL0009127,CUST002283,2024-03-06,Vandalism,27067.71,Approved,2.0,0,ADJ045
CLM0000249,POL0022916,CUST012126,2025-03-21,Liability,34166.85,Approved,22.0,0,ADJ016
CLM0000250,POL0063229,CUST006184,2025-05-20,Comprehensive,14081.09,Approved,55.0,1,ADJ018
CLM0000251,POL0028763,CUST004469,2021-01-26,Lost Luggage,2000.35,Approved,4.0,0,ADJ002
CLM0000254,POL0048715,CUST011153,2023-11-16,Mental Health,8238.74,Approved,23.0,0,ADJ047
CLM0000255,POL0059872,CUST010606,2021-06-28,Critical Illness,651648.34,Under Investigation,,0,ADJ030
CLM0000256,POL0069619,CUST008489,2023-06-04,Vision,50000.0,Approved,64.0,0,ADJ031
CLM0000257,POL0062735,CUST008078,2025-05-27,Liability,35955.18,Under Investigation,,0,ADJ008
CLM0000260,POL0013094,CUST014284,2021-06-18,Death,290817.7,Denied,73.0,0,ADJ038
CLM0000261,POL0069635,CUST011652,2024-07-14,Theft,37995.33,Approved,6.0,0,ADJ040
CLM0000262,POL0037057,CUST003848,2025-06-24,Cyber,6470.25,Approved,5.0,0,ADJ027
CLM0000263,POL0053694,CUST000789,2023-12-07,Fire,5726.79,Approved,6.0,0,ADJ004
CLM0000264,POL0021069,CUST006476,2021-04-22,Death,367711.17,Denied,5.0,0,ADJ014
CLM0000265,POL0000708,CUST006228,2024-11-18,Property,20094.9,Approved,10.0,0,ADJ039
CLM0000266,POL0063649,CUST005055,2020-07-21,Storm,39364.62,Approved,4.0,0,ADJ039
CLM0000268,POL0065307,CUST011437,2024-01-08,Medical,50000.0,Approved,15.0,0,ADJ029
CLM0000269,POL0032808,CUST008451,2022-12-23,Liability,10887.84,Approved,73.0,0,ADJ006
CLM0000270,POL0053467,CUST012835,2021-09-30,Disability,259286.13,Denied,23.0,0,ADJ025
CLM0000271,POL0002962,CUST006418,2024-06-01,Critical Illness,847242.15,Approved,12.0,0,ADJ033
CLM0000272,POL0023255,CUST010314,2024-11-17,Theft,4327.73,Approved,18.0,0,ADJ026
CLM0000273,POL0044303,CUST007486,2023-05-26,Theft,18402.89,Approved,0.0,0,ADJ003
CLM0000274,POL0029657,CUST007831,2021-02-17,Vision,37183.68,Approved,21.0,0,ADJ037
CLM0000275,POL0055524,CUST012829,2023-11-21,Death,230027.87,Approved,60.0,0,ADJ041
CLM0000276,POL0027323,CUST008076,2022-06-24,Theft,2102.82,Approved,3.0,0,ADJ002
CLM0000277,POL0002997,CUST010196,2021-11-19,Dental,50000.0,Approved,13.0,0,ADJ019
CLM0000278,POL0026921,CUST003656,2024-03-25,Disability,587150.91,Approved,285.0,0,ADJ009
CLM0000279,POL0022343,CUST001838,2021-12-11,Vandalism,4178.31,Pending,,0,ADJ030
CLM0000280,POL0046324,CUST002912,2021-10-20,Death,148706.98,Denied,6.0,0,ADJ006
CLM0000281,POL0025403,CUST005748,2025-01-03,Theft,24159.33,Approved,11.0,0,ADJ008
CLM0000282,POL0024033,CUST001366,2023-08-16,Fire,5212.36,Approved,17.0,0,ADJ039
CLM0000283,POL0028393,CUST010660,2022-08-23,Theft,46390.61,Approved,54.0,0,ADJ010
CLM0000284,POL0013758,CUST007755,2024-07-03,Trip Cancellation,10000.0,Approved,13.0,0,ADJ033
CLM0000286,POL0043712,CUST013776,2025-06-11,Liability,25444.11,Approved,20.0,0,ADJ041
CLM0000287,POL0007917,CUST011148,2025-05-12,Critical Illness,221388.72,Approved,53.0,0,ADJ039
CLM0000288,POL0056147,CUST007895,2022-04-29,Cyber,29611.28,Approved,6.0,0,ADJ023
CLM0000289,POL0052399,CUST011917,2021-07-13,Vision,50000.0,Approved,3.0,0,ADJ041
CLM0000290,POL0063832,CUST011276,2025-01-13,Liability,32889.51,Approved,17.0,0,ADJ018
CLM0000291,POL0012273,CUST004892,2024-04-23,Disability,325508.91,Approved,39.0,0,ADJ032
CLM0000292,POL0073761,CUST005281,2023-09-21,Fire,12563.71,Approved,412.0,1,ADJ032
CLM0000293,POL0038036,CUST001998,2025-07-02,Collision,5908.12,Under Investigation,,0,ADJ002
CLM0000294,POL0010073,CUST012017,2025-05-29,Comprehensive,7612.3,Approved,8.0,0,ADJ010
CLM0000295,POL0018684,CUST002417,2025-07-01,Collision,2795.33,Approved,0.0,0,ADJ041
CLM0000296,POL0072071,CUST007783,2023-05-29,Dental,17589.79,Pending,,0,ADJ032
CLM0000299,POL0058118,CUST006745,2022-11-28,Fire,19140.84,Approved,15.0,0,ADJ026
CLM0000300,POL0030928,CUST012551,2023-04-19,Storm,31684.94,Approved,6.0,0,ADJ009
CLM0000301,POL0002821,CUST004940,2025-04-15,Theft,4700.06,Approved,43.0,0,ADJ020
CLM0000302,POL0023170,CUST008739,2022-07-28,Mental Health,13066.18,Denied,138.0,0,ADJ021
CLM0000303,POL0005206,CUST006516,2025-01-23,Critical Illness,300028.02,Approved,4.0,0,ADJ001
CLM0000304,POL0019339,CUST011032,2023-10-29,Water Damage,21509.28,Approved,18.0,0,ADJ001
CLM0000305,POL0046340,CUST001258,2025-06-09,Property,42954.89,Approved,26.0,0,ADJ018
CLM0000306,POL0053120,CUST008960,2021-12-21,Theft,16694.4,Approved,11.0,0,ADJ017
CLM0000307,POL0020222,CUST003648,2022-01-22,Water Damage,1293.47,Approved,26.0,0,ADJ037
CLM0000309,POL0010863,CUST009137,2025-06-11,Disability,639738.68,Approved,119.0,0,ADJ042
CLM0000310,POL0012377,CUST014558,2021-10-31,Fire,51637.66,Approved,57.0,0,ADJ023
CLM0000311,POL0019400,CUST003010,2022-01-24,Liability,14646.91,Approved,18.0,0,ADJ007
