interaction_id,customer_id,interaction_date,interaction_type,channel,duration_minutes,satisfaction_score,resolution_status,agent_id
INT00000030,CUST002843,2025-04-30,Billing Question,Phone,8,1,Pending,AGT059
INT00000031,CUST000611,2024-12-14,Cancellation Request,In-Person,50,2,Escalated,AGT027
INT00000032,CUST012683,2024-07-08,Inquiry,Phone,4,3,Pending,AGT062
INT00000033,CUST014489,2024-12-29,Inquiry,Phone,24,3,Pending,AGT017
INT00000034,CUST009061,2023-09-02,Policy Change,Mobile App,11,3,Resolved,AGT142
INT00000035,CUST008535,2024-12-07,Inquiry,Chat,2,3,Resolved,AGT105
INT00000036,CUST013801,2025-01-18,Inquiry,Chat,4,4,Resolved,AGT050
INT00000037,CUST010686,2024-11-02,Inquiry,Email,2,4,Escalated,AGT142
INT00000038,CUST012640,2023-02-24,Inquiry,Email,5,5,Resolved,AGT128
INT00000039,CUST008759,2024-01-30,Complaint,Email,13,4,Resolved,AGT172
INT00000040,CUST007293,2022-10-29,Inquiry,Chat,18,3,Resolved,AGT177
INT00000041,CUST006555,2025-06-20,Claim Support,Phone,16,3,Resolved,AGT041
INT00000042,CUST012395,2024-03-25,Inquiry,Email,23,3,Escalated,AGT015
INT00000043,CUST014377,2024-05-20,Complaint,Phone,135,2,Pending,AGT053
INT00000044,CUST014328,2023-09-17,Claim Support,Email,46,2,Pending,AGT058
INT00000045,CUST007323,2024-02-16,Inquiry,Phone,32,4,Resolved,AGT199
INT00000046,CUST011699,2025-04-22,Inquiry,Mobile App,1,3,Resolved,AGT154
INT00000047,CUST008444,2025-06-20,Complaint,Phone,17,4,Resolved,AGT010
INT00000048,CUST004981,2021-11-27,Policy Change,Phone,18,3,Resolved,AGT143
INT00000049,CUST013271,2023-12-22,Claim Support,Mobile App,1,4,Resolved,AGT160
INT00000050,CUST014658,2022-03-11,New Policy,Phone,11,3,Resolved,AGT138
INT00000051,CUST012259,2024-11-16,Billing Question,Email,12,4,Resolved,AGT074
INT00000052,CUST000856,2024-07-17,Inquiry,Mobile App,10,4,Resolved,AGT064
INT00000053,CUST005687,2023-10-18,Inquiry,Email,24,4,Closed,AGT199
INT00000054,CUST011716,2024-06-29,Inquiry,Mobile App,5,2,Resolved,AGT190
INT00000055,CUST014646,2025-07-01,Inquiry,Email,1,4,Resolved,AGT068
INT00000056,CUST014672,2024-12-27,Inquiry,Mobile App,11,2,Closed,AGT103
INT00000057,CUST002071,2024-03-14,Claim Support,Email,34,2,Resolved,AGT170
INT00000058,CUST013483,2025-04-26,Inquiry,Email,1,3,Resolved,AGT102
INT00000059,CUST012810,2025-03-15,Policy Change,Phone,22,4,Resolved,AGT046
INT00000060,CUST004312,2024-09-05,Inquiry,In-Person,1,3,Pending,AGT056
INT00000061,CUST000570,2022-11-10,Policy Change,Mobile App,54,2,Pending,AGT090
INT00000062,CUST009670,2025-01-03,Claim Support,Phone,41,3,Resolved,AGT117
INT00000063,CUST004045,2025-05-08,Complaint,Email,4,3,Resolved,AGT146
INT00000064,CUST001125,2025-06-18,Complaint,Phone,9,2,Escalated,AGT004
INT00000065,CUST011327,2025-04-26,Inquiry,Chat,1,5,Resolved,AGT172
INT00000066,CUST007697,2024-04-19,Complaint,Phone,59,1,Resolved,AGT031
INT00000067,CUST013811,2025-05-21,Claim Support,Phone,5,3,Closed,AGT062
INT00000068,CUST003595,2025-05-10,Complaint,In-Person,6,3,Resolved,AGT173
INT00000069,CUST013490,2022-12-29,Inquiry,Email,1,3,Resolved,AGT154
INT00000070,CUST013145,2023-08-16,Policy Change,Email,23,4,Resolved,AGT077
INT00000071,CUST007835,2024-05-31,Inquiry,Phone,9,3,Resolved,AGT012
INT00000072,CUST009557,2021-12-07,Inquiry,Phone,20,3,Resolved,AGT004
INT00000073,CUST008353,2023-12-24,Policy Change,Chat,37,4,Closed,AGT166
INT00000074,CUST006170,2024-12-26,Complaint,Email,29,3,Resolved,AGT150
INT00000075,CUST009683,2025-06-09,Inquiry,Phone,1,4,Resolved,AGT191
INT00000076,CUST007381,2025-05-08,Complaint,Chat,5,2,Escalated,AGT151
INT00000077,CUST014618,2024-12-18,Complaint,Mobile App,5,3,Resolved,AGT077
INT00000078,CUST003345,2025-04-29,Inquiry,Chat,1,3,Resolved,AGT029
INT00000079,CUST004728,2022-04-08,Complaint,Phone,36,2,Resolved,AGT128
INT00000080,CUST004689,2022-01-30,Policy Change,In-Person,12,4,Resolved,AGT139
INT00000081,CUST000810,2025-04-28,Policy Change,Email,1,4,Resolved,AGT066
INT00000082,CUST008145,2022-11-19,Inquiry,Chat,44,2,Closed,AGT113
INT00000083,CUST001984,2023-07-01,Inquiry,Email,1,3,Resolved,AGT115
INT00000084,CUST002171,2023-03-15,Inquiry,In-Person,12,5,Resolved,AGT086
INT00000085,CUST004799,2024-06-10,Inquiry,Phone,15,3,Resolved,AGT140
INT00000086,CUST002886,2022-08-07,Inquiry,Email,4,5,Resolved,AGT019
INT00000087,CUST014734,2024-12-23,Complaint,Email,8,3,Resolved,AGT176
INT00000088,CUST002952,2023-10-05,Claim Support,Phone,18,4,Resolved,AGT083
INT00000089,CUST000041,2023-07-05,Complaint,Phone,51,1,Pending,AGT109
INT00000090,CUST000681,2024-05-26,Policy Change,Chat,11,3,Pending,AGT026
INT00000091,CUST002959,2024-12-12,Billing Question,Chat,8,3,Pending,AGT023
INT00000092,CUST007737,2023-12-07,Billing Question,Chat,4,4,Resolved,AGT077
INT00000093,CUST008265,2023-06-07,Claim Support,In-Person,31,3,Resolved,AGT036
INT00000094,CUST008953,2021-08-22,Inquiry,In-Person,1,2,Pending,AGT088
INT00000095,CUST009244,2025-02-26,Inquiry,Mobile App,7,2,Pending,AGT191
INT00000096,CUST014358,2024-07-25,Inquiry,Phone,1,2,Resolved,AGT084
INT00000097,CUST010907,2024-05-18,Inquiry,Phone,13,2,Resolved,AGT064
INT00000098,CUST002780,2024-01-25,Complaint,Chat,27,2,Pending,AGT171
INT00000099,CUST013682,2024-08-18,Inquiry,Mobile App,3,3,Resolved,AGT018
INT00000100,CUST001497,2025-04-16,Billing Question,Phone,3,5,Resolved,AGT196
INT00000101,CUST003803,2024-09-09,Inquiry,Chat,14,4,Resolved,AGT142
INT00000102,CUST007167,2024-04-20,Complaint,Email,26,4,Resolved,AGT057
INT00000103,CUST006474,2024-08-03,Inquiry,Mobile App,7,5,Resolved,AGT001
INT00000104,CUST000592,2021-02-26,Billing Question,Mobile App,1,2,Escalated,AGT067
INT00000105,CUST003243,2024-12-15,Inquiry,Phone,2,4,Resolved,AGT057
INT00000106,CUST001410,2025-06-17,Inquiry,Chat,7,4,Resolved,AGT108
INT00000107,CUST008286,2024-12-30,Complaint,Email,2,3,Resolved,AGT149
INT00000108,CUST009352,2023-04-28,Billing Question,Mobile App,5,3,Resolved,AGT004
INT00000109,CUST001966,2025-05-08,Complaint,In-Person,8,2,Resolved,AGT075
INT00000110,CUST012792,2024-08-27,Claim Support,Phone,30,4,Resolved,AGT187
INT00000111,CUST013314,2024-02-16,Inquiry,Email,3,2,Pending,AGT024
INT00000112,CUST006368,2024-10-31,Inquiry,Phone,3,3,Escalated,AGT116
INT00000113,CUST004587,2022-04-23,Inquiry,Chat,1,3,Resolved,AGT019
INT00000114,CUST008087,2025-02-14,Claim Support,Phone,9,4,Resolved,AGT170
INT00000115,CUST002461,2024-08-27,Billing Question,Email,3,4,Resolved,AGT028
INT00000116,CUST007954,2025-05-02,Policy Change,Chat,4,5,Resolved,AGT158
INT00000117,CUST004547,2024-09-02,Policy Change,Phone,44,5,Resolved,AGT174
INT00000118,CUST002524,2025-04-11,Cancellation Request,Mobile App,6,3,Resolved,AGT172
INT00000119,CUST003720,2024-02-17,Inquiry,Email,13,3,Resolved,AGT152
INT00000120,CUST013481,2025-06-27,Inquiry,Chat,6,3,Resolved,AGT082
INT00000121,CUST001191,2025-05-02,New Policy,Phone,5,4,Resolved,AGT112
INT00000122,CUST010349,2022-01-15,Billing Question,Chat,5,3,Resolved,AGT011
INT00000123,CUST014305,2025-06-01,Inquiry,Email,1,4,Resolved,AGT138
INT00000124,CUST004557,2023-10-05,Complaint,Mobile App,13,3,Resolved,AGT119
INT00000125,CUST009549,2025-03-07,New Policy,Email,14,4,Resolved,AGT071
INT00000126,CUST008946,2025-06-30,Inquiry,Mobile App,17,3,Resolved,AGT092
INT00000127,CUST001223,2023-09-05,Complaint,Phone,18,2,Resolved,AGT017
INT00000128,CUST010210,2023-11-24,Policy Change,Email,14,3,Resolved,AGT028
INT00000129,CUST010922,2025-04-18,Inquiry,In-Person,18,4,Resolved,AGT084
INT00000130,CUST011961,2025-05-13,Complaint,Chat,1,3,Resolved,AGT057
INT00000131,CUST008744,2024-09-19,Policy Change,Phone,2,3,Escalated,AGT181
INT00000132,CUST005572,2025-02-12,Cancellation Request,Chat,1,4,Resolved,AGT120
INT00000133,CUST003019,2022-05-11,Policy Change,Phone,12,4,Resolved,AGT024
INT00000134,CUST001511,2020-10-29,Claim Support,Mobile App,11,3,Resolved,AGT175
INT00000135,CUST005314,2022-08-15,Billing Question,Email,1,4,Resolved,AGT164
INT00000136,CUST005206,2024-04-12,New Policy,Chat,18,4,Escalated,AGT176
INT00000137,CUST007839,2024-12-06,Claim Support,Mobile App,59,2,Resolved,AGT086
INT00000138,CUST001914,2022-05-17,Complaint,Phone,13,4,Resolved,AGT036
INT00000139,CUST004945,2025-04-18,Complaint,In-Person,36,2,Resolved,AGT155
INT00000140,CUST008385,2020-08-10,Billing Question,Mobile App,5,4,Pending,AGT032
INT00000141,CUST014421,2025-02-27,Claim Support,Chat,86,4,Pending,AGT064
INT00000142,CUST006529,2025-05-30,Complaint,Email,4,2,Pending,AGT133
INT00000143,CUST000388,2025-01-08,Inquiry,Chat,1,2,Pending,AGT037
INT00000144,CUST005049,2022-10-03,Complaint,Email,2,2,Escalated,AGT179
INT00000145,CUST014998,2025-06-22,Complaint,Chat,27,2,Resolved,AGT116
INT00000146,CUST010678,2025-06-27,Inquiry,Email,4,4,Resolved,AGT067
INT00000147,CUST003155,2020-12-26,New Policy,Phone,1,3,Resolved,AGT070
INT00000148,CUST001989,2025-02-20,Claim Support,Mobile App,18,5,Resolved,AGT175
INT00000149,CUST007154,2023-12-14,Inquiry,Phone,14,4,Resolved,AGT004
INT00000150,CUST010175,2021-11-01,Policy Change,Mobile App,17,3,Resolved,AGT105
INT00000151,CUST001730,2025-02-07,Inquiry,Email,4,3,Resolved,AGT107
INT00000152,CUST010763,2025-06-18,Claim Support,Phone,16,3,Resolved,AGT082
INT00000153,CUST013343,2024-12-06,Complaint,Mobile App,19,2,Escalated,AGT156
INT00000154,CUST014230,2022-12-31,Policy Change,Chat,27,3,Resolved,AGT009
INT00000155,CUST002026,2024-09-13,Inquiry,Email,1,4,Resolved,AGT110
INT00000156,CUST002260,2024-12-11,Inquiry,Email,5,3,Escalated,AGT087
INT00000157,CUST010148,2021-01-01,Claim Support,Phone,70,2,Pending,AGT088
INT00000158,CUST003646,2025-02-27,Complaint,Phone,3,2,Resolved,AGT154
INT00000159,CUST011676,2025-04-04,Policy Change,Chat,33,5,Resolved,AGT103
INT00000160,CUST006414,2024-12-23,Claim Support,In-Person,61,2,Pending,AGT186
INT00000161,CUST002852,2021-05-04,Billing Question,Mobile App,15,3,Resolved,AGT112
INT00000162,CUST010570,2024-10-03,Policy Change,Mobile App,4,5,Resolved,AGT006
INT00000163,CUST000484,2025-05-31,Policy Change,Phone,45,3,Resolved,AGT036
INT00000164,CUST005177,2024-07-04,Inquiry,Mobile App,17,4,Resolved,AGT111
INT00000165,CUST004187,2025-05-28,Complaint,Email,15,4,Resolved,AGT146
INT00000166,CUST004206,2022-04-09,Claim Support,Phone,50,4,Resolved,AGT200
INT00000167,CUST000655,2023-01-10,Inquiry,Mobile App,22,3,Resolved,AGT174
INT00000168,CUST000952,2020-04-12,Inquiry,Mobile App,17,3,Resolved,AGT057
INT00000169,CUST011891,2023-06-27,New Policy,Mobile App,19,2,Resolved,AGT054
INT00000170,CUST012738,2022-02-24,Policy Change,Phone,1,4,Resolved,AGT143
INT00000171,CUST003644,2022-12-06,Inquiry,Mobile App,3,3,Pending,AGT195
INT00000172,CUST003174,2025-04-05,New Policy,Phone,43,3,Resolved,AGT061
INT00000173,CUST002813,2022-04-26,Complaint,Chat,54,2,Resolved,AGT101
INT00000174,CUST003041,2024-09-26,Claim Support,Phone,4,5,Resolved,AGT179
INT00000175,CUST000254,2025-02-28,Complaint,Mobile App,15,3,Resolved,AGT030
INT00000176,CUST013371,2024-09-14,Inquiry,In-Person,2,5,Resolved,AGT020
INT00000177,CUST010659,2021-01-31,Complaint,Phone,43,1,Pending,AGT019
INT00000178,CUST002209,2025-03-31,Complaint,Mobile App,13,3,Resolved,AGT002
INT00000179,CUST009150,2024-10-06,Claim Support,Phone,1,4,Resolved,AGT027
INT00000180,CUST002953,2023-12-06,Inquiry,Email,5,3,Resolved,AGT154
INT00000181,CUST010223,2025-03-01,Billing Question,Email,9,5,Resolved,AGT098
INT00000182,CUST000498,2024-04-02,Billing Question,Chat,3,3,Resolved,AGT052
INT00000183,CUST010954,2022-11-23,Inquiry,Phone,14,4,Resolved,AGT048
INT00000184,CUST005321,2024-05-31,Inquiry,Email,9,5,Resolved,AGT179
INT00000185,CUST006379,2024-05-11,Claim Support,In-Person,47,4,Resolved,AGT196
INT00000186,CUST005415,2024-08-18,Policy Change,Email,1,4,Resolved,AGT022
INT00000187,CUST008002,2025-06-19,Claim Support,Phone,19,4,Pending,AGT147
INT00000188,CUST012284,2023-06-24,Cancellation Request,Phone,14,2,Resolved,AGT094
INT00000189,CUST002323,2024-12-08,Billing Question,Phone,5,2,Pending,AGT041
INT00000190,CUST013978,2024-06-04,Inquiry,Chat,1,4,Resolved,AGT071
INT00000191,CUST008153,2025-01-31,Claim Support,Email,3,2,Pending,AGT146
INT00000192,CUST009749,2025-01-02,Inquiry,Mobile App,7,3,Pending,AGT033
INT00000193,CUST006490,2025-06-09,Claim Support,Phone,32,2,Closed,AGT167
INT00000194,CUST003267,2022-04-16,Policy Change,Mobile App,2,2,Closed,AGT141
INT00000195,CUST013654,2021-10-26,Inquiry,Phone,12,4,Resolved,AGT130
INT00000196,CUST001514,2025-05-09,Cancellation Request,Phone,25,3,Resolved,AGT054
INT00000197,CUST004685,2024-06-10,Billing Question,In-Person,13,5,Resolved,AGT121
INT00000198,CUST003691,2024-05-18,Inquiry,In-Person,22,4,Resolved,AGT032
INT00000199,CUST002409,2024-12-09,Complaint,Phone,9,2,Resolved,AGT128
INT00000200,CUST006692,2024-07-18,Complaint,Phone,6,2,Resolved,AGT175
INT00000201,CUST007936,2020-04-14,Policy Change,Phone,23,4,Resolved,AGT020
INT00000202,CUST005047,2023-12-25,Billing Question,Email,2,4,Resolved,AGT087
INT00000203,CUST013122,2025-03-13,Inquiry,Chat,2,5,Resolved,AGT090
INT00000204,CUST005553,2023-01-15,Policy Change,Phone,7,4,Resolved,AGT148
INT00000205,CUST011937,2024-07-17,Policy Change,Phone,24,4,Resolved,AGT065
INT00000206,CUST006042,2025-01-21,Inquiry,Email,3,4,Resolved,AGT008
INT00000207,CUST013000,2024-05-14,Claim Support,Phone,11,3,Resolved,AGT049
INT00000208,CUST014456,2022-04-03,Inquiry,Chat,12,4,Resolved,AGT009
INT00000209,CUST013885,2024-02-09,Policy Change,Email,1,3,Resolved,AGT172
INT00000210,CUST012800,2020-08-28,Billing Question,Mobile App,8,3,Resolved,AGT156
INT00000211,CUST002891,2023-05-08,Billing Question,Phone,1,4,Resolved,AGT027
INT00000212,CUST003963,2024-05-04,Claim Support,In-Person,12,3,Pending,AGT121
INT00000213,CUST014872,2024-04-14,Policy Change,Chat,6,3,Resolved,AGT052
INT00000214,CUST008270,2024-11-22,Inquiry,Email,9,4,Resolved,AGT022
INT00000215,CUST005319,2024-07-21,Claim Support,Phone,17,3,Resolved,AGT105
INT00000216,CUST006974,2022-07-18,Policy Change,Email,18,3,Resolved,AGT047
INT00000217,CUST008439,2025-06-08,Inquiry,Chat,8,3,Resolved,AGT153
INT00000218,CUST011878,2024-12-01,Claim Support,In-Person,7,5,Resolved,AGT134
INT00000219,CUST014177,2024-08-08,Complaint,Email,1,2,Resolved,AGT064
INT00000220,CUST010231,2024-03-26,Inquiry,Phone,3,4,Resolved,AGT086
INT00000221,CUST013807,2024-02-15,Inquiry,Email,1,4,Resolved,AGT032
INT00000222,CUST011242,2024-04-24,Inquiry,Phone,3,4,Resolved,AGT067
INT00000223,CUST008163,2024-09-12,Claim Support,Phone,94,3,Resolved,AGT073
INT00000224,CUST013691,2025-06-19,Claim Support,Phone,1,4,Resolved,AGT192
INT00000225,CUST006890,2022-11-29,Inquiry,Mobile App,5,4,Resolved,AGT012
INT00000226,CUST010178,2024-06-18,Inquiry,Email,1,3,Resolved,AGT138
INT00000227,CUST004191,2025-01-12,Complaint,Phone,8,2,Resolved,AGT123
INT00000228,CUST010645,2025-06-11,Policy Change,Email,4,4,Resolved,AGT047
INT00000229,CUST006736,2025-03-22,Complaint,Phone,42,2,Resolved,AGT127
INT00000230,CUST002868,2024-07-25,Complaint,Email,22,3,Pending,AGT031
INT00000231,CUST012118,2024-03-19,Billing Question,Phone,5,2,Pending,AGT200
INT00000232,CUST008394,2025-02-11,Complaint,Mobile App,2,2,Pending,AGT158
INT00000233,CUST000310,2021-10-30,Policy Change,Phone,14,4,Resolved,AGT200
INT00000234,CUST002250,2023-10-27,Policy Change,Email,10,3,Resolved,AGT153
INT00000235,CUST004607,2022-12-31,Inquiry,In-Person,12,3,Pending,AGT038
INT00000236,CUST004205,2022-09-04,Policy Change,Phone,12,3,Resolved,AGT179
INT00000237,CUST001877,2021-02-21,Complaint,Phone,12,2,Resolved,AGT006
INT00000238,CUST010390,2024-09-29,Policy Change,Mobile App,15,3,Resolved,AGT115
INT00000239,CUST001351,2024-06-26,Claim Support,Email,33,3,Resolved,AGT096
INT00000240,CUST003474,2025-06-27,Policy Change,Mobile App,1,3,Resolved,AGT025
INT00000241,CUST013356,2023-09-26,Policy Change,Phone,2,3,Pending,AGT049
INT00000242,CUST009485,2025-01-25,Complaint,Email,4,3,Resolved,AGT024
INT00000243,CUST012211,2023-05-11,Inquiry,In-Person,9,3,Resolved,AGT026
INT00000244,CUST003097,2025-02-26,Inquiry,Email,11,4,Resolved,AGT022
INT00000245,CUST008027,2021-09-01,Claim Support,Mobile App,12,4,Resolved,AGT127
INT00000246,CUST002828,2024-05-31,Inquiry,Email,1,5,Escalated,AGT165
INT00000247,CUST008440,2025-03-26,Billing Question,Phone,2,5,Resolved,AGT181
INT00000248,CUST011996,2024-11-04,Complaint,Phone,20,3,Pending,AGT168
INT00000249,CUST013961,2023-02-15,Policy Change,Phone,26,3,Pending,AGT018
INT00000250,CUST002472,2024-06-10,Policy Change,Chat,2,4,Resolved,AGT133
INT00000251,CUST010115,2024-02-16,Inquiry,Mobile App,3,3,Resolved,AGT094
INT00000252,CUST000286,2023-07-09,Inquiry,Mobile App,1,3,Resolved,AGT146
INT00000253,CUST012874,2024-01-06,New Policy,Chat,46,3,Pending,AGT024
INT00000254,CUST011149,2025-02-14,Inquiry,Mobile App,7,3,Resolved,AGT014
INT00000255,CUST003033,2025-03-02,Complaint,Email,20,2,Pending,AGT089
INT00000256,CUST011045,2025-01-06,Inquiry,Phone,16,4,Resolved,AGT100
INT00000257,CUST014758,2024-02-21,Complaint,Email,2,4,Escalated,AGT069
INT00000258,CUST000895,2023-11-28,Billing Question,Mobile App,1,4,Resolved,AGT117
INT00000259,CUST000434,2025-06-24,Billing Question,Chat,5,3,Resolved,AGT044
INT00000260,CUST004283,2024-12-21,Billing Question,Chat,8,4,Resolved,AGT186
INT00000261,CUST003447,2024-01-18,Inquiry,In-Person,1,3,Pending,AGT126
INT00000262,CUST011620,2022-11-21,New Policy,Phone,13,3,Resolved,AGT180
INT00000263,CUST008243,2021-09-07,Billing Question,Email,2,2,Resolved,AGT025
INT00000264,CUST007981,2024-05-12,Inquiry,Email,1,3,Resolved,AGT164
INT00000265,CUST012689,2025-02-18,Claim Support,Email,1,4,Resolved,AGT107
INT00000266,CUST006268,2025-01-03,Claim Support,Mobile App,2,4,Resolved,AGT156
INT00000267,CUST009876,2022-12-01,Billing Question,Email,1,3,Resolved,AGT090
INT00000268,CUST002092,2022-12-21,Inquiry,Phone,4,4,Resolved,AGT182
INT00000269,CUST000437,2021-01-18,New Policy,Email,15,3,Resolved,AGT158
INT00000270,CUST014584,2024-11-14,Claim Support,Mobile App,20,4,Resolved,AGT116
INT00000271,CUST011918,2023-12-26,Complaint,Email,3,2,Pending,AGT080
INT00000272,CUST013716,2023-08-26,Complaint,Phone,1,3,Pending,AGT039
INT00000273,CUST009740,2024-11-20,Claim Support,Phone,85,2,Resolved,AGT055
INT00000274,CUST012294,2024-10-30,Inquiry,Phone,15,5,Resolved,AGT172
INT00000275,CUST000675,2025-05-28,Complaint,Chat,1,3,Resolved,AGT150
INT00000276,CUST012886,2025-02-26,Policy Change,Email,29,3,Resolved,AGT045
INT00000277,CUST008436,2025-04-11,Inquiry,Email,9,3,Pending,AGT044
INT00000278,CUST011476,2021-02-07,Claim Support,Mobile App,7,3,Resolved,AGT101
INT00000279,CUST007069,2025-06-18,Policy Change,In-Person,16,3,Escalated,AGT061
INT00000280,CUST003593,2025-01-11,Complaint,Email,12,2,Resolved,AGT171
INT00000281,CUST005318,2023-06-19,Claim Support,Email,7,4,Resolved,AGT101
INT00000282,CUST007740,2024-11-07,Billing Question,Email,11,3,Escalated,AGT029
INT00000283,CUST014712,2022-09-21,Policy Change,Chat,6,4,Resolved,AGT112
INT00000284,CUST003151,2023-07-22,Inquiry,In-Person,2,4,Resolved,AGT003
INT00000285,CUST009188,2024-10-10,Billing Question,Mobile App,3,5,Pending,AGT186
INT00000286,CUST003106,2022-07-30,Policy Change,Phone,22,4,Resolved,AGT097
INT00000287,CUST013709,2024-03-24,Complaint,Chat,1,3,Pending,AGT185
INT00000288,CUST013564,2024-12-18,Billing Question,Phone,49,4,Resolved,AGT051
INT00000289,CUST010344,2022-03-31,Policy Change,Phone,30,3,Resolved,AGT138
INT00000290,CUST001500,2023-01-31,Inquiry,Chat,29,4,Resolved,AGT189
INT00000291,CUST002351,2024-09-17,Complaint,Chat,7,4,Resolved,AGT006
INT00000292,CUST009527,2024-12-27,New Policy,Email,17,3,Resolved,AGT037
INT00000293,CUST000678,2023-12-25,Inquiry,Phone,4,2,Escalated,AGT067
INT00000294,CUST004338,2024-06-21,Inquiry,In-Person,27,3,Escalated,AGT067
INT00000295,CUST014280,2025-04-24,Inquiry,Email,1,4,Pending,AGT107
INT00000296,CUST011331,2025-01-07,Billing Question,Phone,1,3,Resolved,AGT038
INT00000297,CUST006906,2024-03-15,Claim Support,Email,6,4,Closed,AGT175
INT00000298,CUST012532,2025-07-02,Billing Question,Mobile App,11,4,Resolved,AGT167
INT00000299,CUST011275,2025-06-29,Policy Change,Email,14,5,Resolved,AGT167
INT00000300,CUST013800,2025-01-02,Inquiry,Email,2,4,Resolved,AGT006
INT00000301,CUST005885,2024-11-09,Inquiry,Phone,6,4,Resolved,AGT046
INT00000302,CUST013020,2021-10-19,Claim Support,Email,2,3,Resolved,AGT050
INT00000303,CUST013827,2022-09-23,Cancellation Request,Phone,1,3,Escalated,AGT183
INT00000304,CUST006439,2024-09-12,New Policy,Phone,6,4,Resolved,AGT081
INT00000305,CUST010884,2023-12-29,Claim Support,Chat,60,3,Pending,AGT019
INT00000306,CUST006630,2022-04-15,Policy Change,In-Person,14,5,Resolved,AGT161
INT00000307,CUST006219,2024-04-19,Claim Support,Mobile App,6,3,Pending,AGT034
INT00000308,CUST005832,2024-10-15,Policy Change,Mobile App,1,5,Resolved,AGT186
INT00000309,CUST013877,2024-09-10,Policy Change,Phone,24,3,Resolved,AGT060
INT00000310,CUST007136,2024-10-09,Claim Support,Mobile App,4,5,Resolved,AGT135
INT00000311,CUST002278,2023-01-26,Inquiry,Mobile App,34,2,Resolved,AGT163
INT00000312,CUST008308,2022-10-29,Claim Support,Phone,5,4,Resolved,AGT132
INT00000313,CUST003485,2023-12-31,New Policy,Email,9,3,Resolved,AGT135
INT00000314,CUST012563,2022-09-26,Claim Support,Phone,12,3,Pending,AGT191
INT00000315,CUST013214,2025-03-26,Complaint,Email,3,3,Resolved,AGT154
INT00000316,CUST003292,2024-06-02,Billing Question,Email,1,4,Resolved,AGT029
INT00000317,CUST013015,2023-01-20,Inquiry,Email,2,4,Resolved,AGT129
INT00000318,CUST005255,2025-02-19,Complaint,Phone,6,2,Closed,AGT163
INT00000319,CUST011000,2024-02-12,Complaint,Phone,47,1,Resolved,AGT005
INT00000320,CUST003636,2024-12-22,Inquiry,Email,10,3,Closed,AGT173
INT00000321,CUST014827,2024-01-20,Policy Change,In-Person,10,4,Resolved,AGT121
INT00000322,CUST008678,2024-03-07,Inquiry,In-Person,13,2,Resolved,AGT031
INT00000323,CUST008932,2024-03-27,Claim Support,Chat,9,3,Resolved,AGT109
INT00000324,CUST007395,2025-04-17,Inquiry,Chat,22,4,Resolved,AGT150
